"reino","filo","classe","ordem","familia","genero","especie","subespecie","autor","latitude","longitude","datum","formato_original","precisao_da_coordenada","referencia_aproximacao","metodologia_aproximacao","descricao_do_metodo_aproximacao","taxon_citado","presenca_atual","tipo_registro","dia","mes","ano","hora","dia_fim","mes_fim","ano_fim","endemica_brasil","data_e_ano_desconhecidos","localidade","caracteristica_da_localidade","uc_federais","uc_nao_federais","rppn","pais","estado","municipio","ambiente","habitat","elevacao_minima","elevacao_maxima","profundidade_minima","profundidade_maxima","identificador","data_identificacao","identificacao_incerta","tombamento","instituicao_tombamento","compilador","data_compilacao","revisor","data_revisao","validador","data_validacao","autor_registro","referencia_bibliografica","base_dados","id_origem","observacao"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-22.1731559999999","-44.4029039999999","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","APA Serra da Mantiqueira","","","Brasil","Minas Gerais","Bocaina de Minas","","","","","","","","","","","UFMG, Colecao Herpetologica da Universidade Federal de Minas Gerais","","","","","","","Wiegmann, 1834","","SALVE","613","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-20.3011","-42.4774999999999","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Minas Gerais","Abre Campo","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","596","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-15.3166666666667","-55.0666666666666","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Mato Grosso","Campo Verde","","","","","","","","","","","","","","","","","","Wiegmann, 1834","Strussmann, C (2010) Capitulo IX: Herpetofauna In: Alho (ed.) Fauna Silvestre da regiao do RIo Manso, MT. Brasilia, pp. 153-189.","SALVE","5","base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-24.12694444","-50.70333333","WGS 84","GG MM SS","Aproximada","Localidade","Outra","Coordenada fornecida pelo artigo (Souza Filho & Oliveira 2015)","Cercosaura schreibersii","","","","","","","","","","Nao","","","","","","","Brasil","Parana","Ortigueira","","","","","","","","","","","","","","","","","","Wiegmann, 1834","Souza-Filho, G.A. & Oliveira, F.S. (2015) Squamate reptiles from Maua Hydroelectric Power Plant, state of Parana, southern Brazil. Check List. 11 (6), 1-7.","SALVE","",""
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-25.64916667","-51.93944444","Nao informado","GG MM SS","Desconhecida","","","Coordenada retirada de Souza Filho et al. 2015","","","","","","","","","","","Nao","","","","","","","Brasil","Parana","Candoi","","","","","","","","","","","","","","","","","","Wiegmann, 1834","Souza-Filho, G.A. & Oliveira, F.S. (2015) Squamate reptiles from Maua Hydroelectric Power Plant, state of Parana, southern Brazil. Check List. 11 (6), 1-7.","SALVE","",""
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-13.1889","-60.8121999999999","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Rondonia","Cerejeiras","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","604","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-20.2875","-43.5080999999999","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Minas Gerais","Ouro Preto","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","598","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-29.9","-50.1","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Brasil","Rio Grande do Sul","Imbe","","","","","","","","","","","CHUNB, Colecao Herpetologica da Universidade de Brasilia","","","","","","","Wiegmann, 1834","","SALVE","602","Base de dados ciclo 1, GC"
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-31.72416667","-52.3075","Nao informado","GG MM SS","Desconhecida","","","Coordenada retirada de Entiauspe-Neto et al 2016","","","","","","2015","","","","","Nao","","","","","","","Brasil","Rio Grande do Sul","Pelotas","","","30.0","30.0","","","","","","","","","","","","","","Wiegmann, 1834","Entiauspe-Neto, O.M., Perleberg, T.D. & Freitas, M.A. (2016) Herpetofauna from an urban Pampa fragment in Southern Brazil: composition, structure and conservation. Check List. 12, 1964.","SALVE","",""
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Cercosaura","Cercosaura schreibersii","","Wiegmann, 1834","-34.599722","-58.3819439999999","Nao informado","Graus decimais","Desconhecida","","","","","","","","","","","","","","Nao","","","","","","","Argentina","","","","","","","","","","","","","","","","","","","","Wiegmann, 1834","Nogueira, C.D.C. (2006) Diversidade e Padroes de Distribuicao da Fauna de Lagartos do Cerrado. Tese de Doutorado. Universidade de Sao Paulo, Instituto de Biociencias. Sao Paulo. 296pp.","SALVE","1981","base de dados ciclo 1, GC"
