"Species"	"Order"	"Suborder"	"Family"	"Genus"	"Description.author.s"	"Description.year"	"Subspecies"	"Main.biogeographic.region"	"Microhabitat"	"Habitat.type"	"Minimal.elevation..m."	"Maximum.elevation..m."	"Mean.Annual.Temperature...C."	"Temperature.Seasonality..standard.deviation.100."	"Seasonality.Precipitation..coefficient.of.variation...100."	"Insular.endemic..yes.or.no."	"Venomous..yes.or.no."	"Diet"	"Diet..comments"	"Active.time"	"Dorsal.colour"	"Dorsal.pattern"	"Foraging.mode"	"Pupil.Shape"	"Fangs"	"Maximum.Longevity..years."	"Maximum.body.mass..g."	"Maximum.total.length...TL...mm."	"Maximum.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.female.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.male.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.juvenile.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Hatchling.neonate.mass..g."	"Reproductive.mode"	"Sex.determining.mechanism..GSD.or.TSD."	"Mean.number.of.offspring.per.litter.or.number.of.eggs.per.clutch"	"Smallest.clutch.size"	"Largest.clutch.size"	"Number.of.litters.or.clutches.produced.per.year"	"Egg.length..mm."	"Egg.width..mm."	"Mean.Tb"	"Minimum.Tb"	"Maximum.Tb"	"Genetic.data..yes.or.not."	"IUCN.redlist.assessment"	"IUCN.population.trend"	"X"
"Enyalioides palpebralis"	"Squamata"	"Sauria"	"Hoplocercidae"	"Enyalioides"	"Boulenger"	1883	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest"	100	1300	NA	NA	11.62	"No"	"No"	"Carnivorous"	"arthropods (Torres-Carvajal etAl. 2011)"	"Diurnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	53.7	NA	122	98.3	NA	NA	NA	"oviparous"	NA	3	2	4	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Enyalius bibronii"	"Squamata"	"Sauria"	"Leiosauridae"	"Enyalius"	"Boulenger"	1885	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest/Savanna"	30	900	NA	NA	32.83	"No"	"No"	"Carnivorous"	"\"insectivorous\" (Gogliath etAl. 2010)"	"Diurnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	56.2	NA	108.2	105.5	NA	NA	NA	"oviparous"	NA	7.2	6	8	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Enyalius bilineatus"	"Squamata"	"Sauria"	"Leiosauridae"	"Enyalius"	"Duméril & Bibron"	1837	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest/Savanna"	1240	1250	NA	NA	19.77	"No"	"No"	"Carnivorous"	"Arthropods (e.g., RautenbergAnd Laps 2010, Maia-Carneiro etAl. 2016)"	"Diurnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	35.5	NA	105	77.7	NA	NA	NA	"oviparous"	NA	4.4	2	6	NA	NA	NA	25	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Enyalius boulengeri"	"Squamata"	"Sauria"	"Leiosauridae"	"Enyalius"	"Etheridge"	1969	"No"	"Neotropic"	"Arboreal/Terrestrial"	NA	675	1120	NA	NA	24.76	"No"	"No"	"Carnivorous"	"Arthropods (Maia-Carneiro etAl. 2016)"	NA	NA	NA	NA	NA	"non-fanged"	NA	51.3	NA	117	112.8	NA	NA	NA	"oviparous"	NA	9.5	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA
"Enyalius brasiliensis"	"Squamata"	"Sauria"	"Leiosauridae"	"Enyalius"	"Lesson"	1830	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest"	710	875	NA	NA	19.97	"No"	"No"	"Carnivorous"	"ArthropodsAnd plants - Van Sluys etAl. 2004 giveA measure of 35.4% but still say it may beAccidental ingestion of plants,Arthropods (Maia-Carneiro etAl. 2016)"	"Cathemeral"	NA	NA	"AMB"	NA	"non-fanged"	NA	51.3	NA	117	86.9	NA	NA	NA	"oviparous"	NA	9.5	5	14	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Enyalius capetinga"	"Squamata"	"Sauria"	"Leiosauridae"	"Enyalius"	"Breitman, Domingos, Bagley, Ferrari, Cavalcante, Pereira, Abreu, De Lima, Morais, Del Prette, Silva,  Mello,  Carvalho, Lima, Silva, Matias, Carvalho, Pantoja, Gomes, Paschoaletto, Rodrigues, Talarico, Barreto-Lima & Colli"	2018	"No"	"Neotropic"	"Arboreal"	NA	1150	1160	NA	NA	17.28	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	19.5	NA	NA	NA	NA	NA	NA	"oviparous"	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Enyalius catenatus"	"Squamata"	"Sauria"	"Leiosauridae"	"Enyalius"	"Wied-Neuwied"	1821	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest"	813	1146	23.06	1263.4	30.88	"No"	"No"	"Carnivorous"	"arthropods (e.g., Maia-Carneiro etAl. 2016), Invertebrates (e.g., Cruz etAl. 2018)"	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	61.7	NA	123.1	92.9	NA	36.3	NA	"oviparous"	NA	10	2	18	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Enyalius erythroceneus"	"Squamata"	"Sauria"	"Leiosauridae"	"Enyalius"	"Rodrigues, De Freitas, Santos Silva & Viña Bertolotto"	2006	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest/Grassland"	NA	NA	NA	NA	26.2	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	21.4	NA	90	NA	NA	NA	NA	"oviparous"	NA	16	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Critically Endangered"	"Unknown"	NA
"Enyalius iheringii"	"Squamata"	"Sauria"	"Leiosauridae"	"Enyalius"	"Boulenger"	1885	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest"	675	1120	18.49	2643.8	18.59	"No"	"No"	"Carnivorous"	"arthropods (Barreto-Lima etAl. 2013, RautenbergAnd Laps 2010, MiglioreAnd Barreto-Lima 2016, Maia-Carneiro etAl. 2016)"	"Diurnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	63.1	NA	124	106	NA	27.5	NA	"oviparous"	NA	13.7	10	18	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Enyalius leechii"	"Squamata"	"Sauria"	"Leiosauridae"	"Enyalius"	"Boulenger"	1885	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest"	716	1225	NA	NA	12.28	"No"	"No"	"Carnivorous"	"Arthropods (e.g., Maia-Carneiro etAl. 2016)"	"Diurnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	49	NA	115	105	NA	NA	NA	"oviparous"	NA	12.7	10	14	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Enyalius perditus"	"Squamata"	"Sauria"	"Leiosauridae"	"Enyalius"	"Jackson"	1978	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest"	NA	NA	20.28	2023.3	18.81	"No"	"No"	"Omnivorous"	"Arthropods, 6.5% plants (SturaroAnd da Silva 2010), invertebrates (Barreto-Lima etAl. 2013),Arthropods (Barreto-LimaAnd Sousa 2011),Arthropods (mostlyAntsAnd termites)And plants (Barreto-Lima 2009),Arthropods (Maia-Carneiro etAl. 2016; 4.5% plants)"	"Diurnal"	NA	NA	"Mixed"	NA	"non-fanged"	NA	30.2	NA	100.2	79.3	NA	29.5	NA	"oviparous"	NA	8.7	3	14	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Enyalius pictus"	"Squamata"	"Sauria"	"Leiosauridae"	"Enyalius"	"Schinz"	1822	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest/Savanna"	813	1146	NA	NA	30	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	43.7	NA	111	111	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Epicrates assisi"	"Squamata"	"Serpentes"	"Boidae"	"Epicrates"	"Machado"	1945	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest/Savanna"	8	2188	NA	NA	0.4	"No"	"No"	"Carnivorous"	"Mammals "	"Nocturnal"	"Black/Brown"	"Banded/blotched"	NA	NA	"non-fanged"	16.9	1873.7	1610	NA	NA	NA	NA	NA	"viviparous"	NA	13	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Epicrates cenchria"	"Squamata"	"Serpentes"	"Boidae"	"Epicrates"	"Linnaeus"	1758	"No"	"Neotropic"	"Fossorial"	"Forest"	0	2750	24.4	75.2	0.3	"No"	"No"	"Carnivorous"	" Birds, mammals, reptiles"	"Nocturnal"	"Black/Brown"	"Banded/blotched"	NA	"slit (or vertical elliptical)"	"non-fanged"	31	4570.5	2200	888	NA	NA	NA	NA	"viviparous"	NA	13.1	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Epicrates crassus"	"Squamata"	"Serpentes"	"Boidae"	"Epicrates"	"Cope"	1862	"No"	"Neotropic"	"Terrestrial"	"Forest/Grassland/Savanna"	8	2188	24.2	147.6	0.2	"No"	"No"	"Carnivorous"	" Birds, mammals, reptiles"	"Nocturnal"	"Black/Brown"	"Banded/blotched"	NA	NA	"non-fanged"	25	1615.9	NA	1371	NA	NA	NA	NA	"viviparous"	NA	12.7	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Epicrates maurus"	"Squamata"	"Serpentes"	"Boidae"	"Epicrates"	"Gray"	1849	"No"	"Neotropic"	"Terrestrial"	"Forest/Savanna"	0	2630	24.4	65.3	0.5	"No"	"No"	"Carnivorous"	" Birds, mammals"	"Nocturnal"	"Black/Brown"	"Uniform"	NA	NA	"non-fanged"	27.3	2188.6	1700	1270	NA	NA	NA	NA	"viviparous"	NA	13	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Epictia albifrons"	"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Epictia"	"Wagler"	1824	"No"	"Neotropic"	"Fossorial"	"Forest"	40	1200	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	1.6	NA	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Stable"	NA
"Epictia borapeliotes"	"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Epictia"	"Vanzolini"	1996	"No"	"Neotropic"	"Fossorial"	"Shrubland"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	2	186	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Epictia clinorostris"	"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Epictia"	"Arredondo & Zaher"	2010	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Forest"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	2.4	206	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Vulnerable"	"Unknown"	NA
"Epictia munoai"	"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Epictia"	"Orejas-Miranda"	1961	"No"	"Neotropic"	"Fossorial"	"Forest/Grassland"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	2.3	200	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Epictia striatula"	"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Epictia"	"Smith & Laufe"	1945	"No"	"Neotropic"	"Fossorial"	"Forest"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	3.4	240	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Vulnerable"	"Unknown"	NA
"Epictia vellardi"	"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Epictia"	"Laurent"	1984	"No"	"Neotropic"	"Fossorial"	"Savanna"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	2.3	200	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Erythrolamprus aenigma"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Entiauspe-Neto, Abegg, Koch, Nuñez, Azevedo, Moraes, Tiutenko, Bialves & Loebmann"	2021	"No"	"Neotropic"	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Erythrolamprus aesculapii"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Linnaeus"	1758	"Erythrolamprus aesculapii aesculapii (LINNAEUS 1758)
Erythrolamprus aesculapii monozona JAN 1863
Erythrolamprus aesculapii tetrazona JAN 1863
Erythrolamprus aesculapii venustissimus (WIED 1821)"	"Neotropic"	"Fossorial/Terrestrial"	"Forest"	10	1200	23.4	103.6	0.3	"No"	"Yes"	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	139.2	927	426	NA	NA	NA	NA	"oviparous"	NA	4.5	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Erythrolamprus almadensis"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Wagler"	1824	"No"	"Neotropic"	"Terrestrial"	"Forest/Grassland/Savanna/Shrubland"	23	1309	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	58.8	660	NA	NA	NA	NA	NA	"oviparous"	"GSD (ZW/ZZ)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Erythrolamprus atraventer"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Dixon & Thomas"	1985	"No"	"Neotropic"	"Terrestrial"	"Forest"	23	1309	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	38.7	510	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Erythrolamprus breviceps"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Cope"	1860	"No"	"Neotropic"	"Semi-Aquatic"	"Forest/Wetlands"	10	1950	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	47.6	810	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Erythrolamprus carajasensis"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Cunha, Nascimento & Ávila-Pires"	1985	"No"	"Neotropic"	NA	"Savanna"	NA	NA	NA	NA	0.3	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	19.7	429	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Erythrolamprus cobella"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Linnaeus"	1758	"No"	"Neotropic"	"Semi-Aquatic"	"Forest/Savanna/Wetlands"	0	2100	NA	NA	0.5	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	120.2	875	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Erythrolamprus dorsocorallinus"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Esqueda, Natera, La Marca & Ilija-Fistar"	2007	"No"	"Neotropic"	"Terrestrial"	"Forest"	NA	NA	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	54.2	639	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Erythrolamprus frenatus"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Werner"	1909	"No"	"Neotropic"	NA	"Forest/Grassland/Savanna"	NA	NA	NA	NA	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	38.8	560	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Erythrolamprus jaegeri"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Günther"	1858	"Erythrolamprus jaegeri coralliventris (BOULENGER 1894)
Erythrolamprus jaegeri jaegeri (GÜNTHER 1858)"	"Neotropic"	"Semi-Aquatic"	"Forest/Grassland/Shrubland/Wetlands"	23	1309	21.1	272.1	0.2	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	62.5	676	NA	NA	NA	NA	NA	"oviparous"	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Erythrolamprus macrosomus"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Amaral"	1936	"No"	"Neotropic"	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Erythrolamprus maryellenae"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Dixon"	1985	"No"	"Neotropic"	"Terrestrial"	"Grassland/Savanna"	NA	NA	NA	NA	0.3	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	9.8	530	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Erythrolamprus miliaris"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Linnaeus"	1758	"Erythrolamprus miliaris miliaris (LINNAEUS 1758)
Erythrolamprus miliaris amazonicus (DUNN 1922)
Erythrolamprus miliaris chrysostomus (COPE 1868)
Erythrolamprus miliaris merremi (WIED 1821)
Erythrolamprus miliaris orinus (GRIFFIN 1916)"	"Neotropic"	"Semi-Aquatic"	"Forest/Wetlands"	18	1461	NA	NA	0.3	"No"	NA	NA	NA	NA	NA	NA	"ACT"	"round (or oval)"	"rear-fanged"	NA	110	1120	NA	NA	NA	NA	NA	"oviparous"	"GSD (ZW/ZZ)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Erythrolamprus mossoroensis"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Hoge & Lima-Verde"	1973	"No"	"Neotropic"	"Semi-Aquatic"	"Shrubland"	NA	NA	25.5	126.4	0.4	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	286.3	1232	NA	NA	NA	NA	NA	"oviparous"	NA	6.2	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Erythrolamprus oligolepis"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Boulenger"	1905	"No"	"Neotropic"	"Terrestrial"	"Forest"	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Erythrolamprus poecilogyrus"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Wied-Neuwied"	1824	"Erythrolamprus poecilogyrus caesius (COPE 1862)
Erythrolamprus poecilogyrus poecilogyrus (WIED-NEUWIED 1825)
Erythrolamprus poecilogyrus schotti (SCHLEGEL 1837)
Erythrolamprus poecilogyrus sublineatus (COPE 1860)"	"Neotropic"	"Semi-Aquatic"	"Forest"	50	300	22.5	172.9	0.3	"No"	NA	NA	NA	NA	NA	NA	"ACT"	"round (or oval)"	"rear-fanged"	NA	68.3	700	371.5	NA	NA	NA	NA	"oviparous"	NA	7.4	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Increasing"	NA
"Erythrolamprus pygmaeus"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Cope"	1868	"No"	"Neotropic"	"Terrestrial"	NA	10	500	NA	NA	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	4.9	247	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Erythrolamprus reginae"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Linnaeus"	1758	"No"	"Neotropic"	"Terrestrial"	"Forest/Savanna/Wetlands"	0	3000	23.6	106.5	0.3	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.8	810	NA	NA	NA	NA	NA	"oviparous"	NA	4.5	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Erythrolamprus rochai"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Ascenso, Costa & Prudente"	2019	"No"	"Neotropic"	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Erythrolamprus semiaureus"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Cope"	1862	"No"	"Neotropic"	"Aquatic"	"Forest/Grassland/Savanna/Shrubland"	NA	NA	NA	NA	0.1	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	168.7	1000	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Stable"	NA
"Erythrolamprus taeniogaster"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Jan"	1863	"No"	"Neotropic"	"Terrestrial"	"Forest/Savanna/Wetlands"	NA	NA	NA	NA	0.3	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	133.7	NA	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Erythrolamprus trebbaui"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Roze"	1958	"No"	"Neotropic"	NA	"Forest/Shrubland"	1000	1940	NA	NA	0.4	"No"	NA	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	40.5	570	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Least Concern"	"Stable"	NA
"Erythrolamprus typhlus"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Linnaeus"	1758	"Erythrolamprus typhlus brachyurus (COPE 1887)
Erythrolamprus typhlus typhlus (LINNAEUS 1758)
Erythrolamprus typhlus elaeoides GRIFFIN 1916"	"Neotropic"	"Terrestrial"	"Forest/Savanna"	0	1500	24.5	96	0.3	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	112.7	853	NA	NA	NA	NA	NA	"oviparous"	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Erythrolamprus viridis"	"Squamata"	"Serpentes"	"Colubridae"	"Erythrolamprus"	"Günther"	1862	"Erythrolamprus viridis viridis (GÜNTHER 1862)
Erythrolamprus viridis prasinus (JAN & SORDELLI 1866)"	"Neotropic"	"Semi-Aquatic"	"Forest"	NA	NA	NA	NA	0.4	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	58.7	535	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Eunectes deschauenseei"	"Squamata"	"Serpentes"	"Boidae"	"Eunectes"	"Dunn & Conant"	1936	"No"	"Neotropic"	"Semi-Aquatic"	"Savanna/Wetlands"	NA	NA	25.9	84.5	0.6	"No"	"No"	NA	NA	"Nocturnal"	NA	NA	NA	NA	NA	23.2	6584.4	2500	NA	NA	NA	NA	NA	"viviparous"	NA	10.6	NA	NA	1	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Eunectes murinus"	"Squamata"	"Serpentes"	"Boidae"	"Eunectes"	"Linnaeus"	1758	"No"	"Neotropic"	"Semi-Aquatic"	"Forest/Savanna/Wetlands"	0	850	24.6	95.1	0.3	"No"	"No"	NA	NA	"Cathemeral"	NA	NA	"AMB"	NA	NA	31.8	345143.7	2426	2088	NA	NA	NA	NA	"viviparous"	NA	30	NA	NA	1	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Eunectes notaeus"	"Squamata"	"Serpentes"	"Boidae"	"Eunectes"	"Cope"	1862	"No"	"Neotropic"	"Semi-Aquatic"	"Grassland/Savanna/Wetlands"	80	150	23	330.8	0.2	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	NA	23.6	25204.8	4000	NA	NA	NA	NA	NA	"viviparous"	NA	25	NA	NA	1	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Eurolophosaurus amathites"	"Squamata"	"Sauria"	"Tropiduridae"	"Eurolophosaurus"	"Rodrigues"	1984	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Shrubland"	480	600	NA	NA	41.28	"No"	"No"	NA	NA	"Diurnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	12.6	NA	68	59.4	NA	NA	NA	"oviparous"	"GSD (XX/XY)"	2	2	2	NA	NA	NA	NA	NA	NA	"Yes"	"Endangered"	"Unknown"	NA
"Eurolophosaurus divaricatus"	"Squamata"	"Sauria"	"Tropiduridae"	"Eurolophosaurus"	"Rodrigues"	1986	"No"	"Neotropic"	"Terrestrial"	"Savanna"	NA	NA	NA	NA	41.46	"No"	"No"	"Herbivorous"	"mostly flowers,AlsoArthropods (RochaAnd Rodrigues 2005)"	"Diurnal"	NA	NA	"AMB"	NA	"non-fanged"	NA	28.8	NA	92	NA	NA	NA	NA	"oviparous"	NA	2	NA	NA	NA	NA	NA	38	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
