family,genus,species,activity,limbs,reproduction,habitat,biomes,major_biome_gard,Seasonality.Precipitation..coefficient.of.variation...100.,cerrado_endemic,phylogeny,distribution
Amphisbaenidae,Amphisbaena,Amphisbaena filiformis,NA,limbless,NA,NA,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",NA,yes,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena frontalis,NA,limbless,NA,Forest_Shrubland,AM_CA_CE,Deserts & Xeric Shrublands,NA,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena fuliginosa,Nocturnal,limbless,oviparous,Forest_Savanna,AM_CA_CE_AF,Tropical & Subtropical Moist Broadleaf Forests,15.9,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena hastata,Diurnal,limbless,oviparous,Savanna,CA_CE,Deserts & Xeric Shrublands,41.61,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena heathi,NA,limbless,oviparous,Savanna_Shrubland,CA_AF,Deserts & Xeric Shrublands,42.97,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena hiata,NA,limbless,NA,Forest_Savanna,PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",NA,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena hogei,NA,limbless,NA,Forest,CE_AF,Tropical & Subtropical Moist Broadleaf Forests,NA,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena hoogmoedi,NA,limbless,NA,NA,AM,Tropical & Subtropical Moist Broadleaf Forests,NA,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena ignatiana,NA,limbless,oviparous,Forest,CA_AF,Deserts & Xeric Shrublands,43.96,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena kingii,NA,limbless,oviparous,Grassland_Savanna,AF_PP,"Temperate Grasslands, Savannas & Shrublands",23.6,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena kiriri,NA,limbless,NA,NA,CA,Deserts & Xeric Shrublands,NA,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena kraoh,NA,limbless,oviparous,Savanna,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",17.46,yes,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena leeseri,NA,limbless,oviparous,Savanna,AM_CE_AF_PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",18.2,yes,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena leucocephala,NA,limbless,NA,Forest,AF,Tropical & Subtropical Moist Broadleaf Forests,NA,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena littoralis,NA,limbless,NA,Shrubland,CA_AF,Deserts & Xeric Shrublands,NA,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena longinqua,NA,limbless,NA,NA,CA,NA,NA,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena maranhensis,NA,limbless,NA,Savanna,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",NA,yes,no,yes
