"order"	"suborder"	"family"	"genus"	"species"	"year"	"author"
"Squamata"	"Serpentes"	"Colubridae"	"Psomophis"	"Psomophis obtusus"	"1863"	"(COPE, 1863)"
"Squamata"	"Sauria"	"Scincidae"	"Psychosaura"	"Psychosaura agmosticha"	"2000"	"(RODRIGUES, 2000)"
"Squamata"	"Sauria"	"Scincidae"	"Psychosaura"	"Psychosaura macrorhyncha"	"1946"	"(HOGE, 1946)"
"Squamata"	"Serpentes"	"Colubridae"	"Ptychophis"	"Ptychophis flavovirgatus"	"1915"	"GOMES, 1915"
"Testudines"	NA	"Chelidae"	"Ranacephala"	"Ranacephala hogei"	"1967"	"(MERTENS, 1967)"
"Squamata"	"Serpentes"	"Colubridae"	"Rhachidelus"	"Rhachidelus brazili"	"1908"	"BOULENGER, 1908"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Rhachisaurus"	"Rhachisaurus brachylepis"	"1974"	"(DIXON, 1974)"
"Testudines"	NA	"Chelidae"	"Rhinemys"	"Rhinemys rufipes"	"1824"	"(SPIX, 1824)"
"Squamata"	"Serpentes"	"Colubridae"	"Rhinobothryum"	"Rhinobothryum lentiginosum"	"1785"	"(SCOPOLI, 1785)"
"Testudines"	NA	"Geoemydidae"	"Rhinoclemmys"	"Rhinoclemmys punctularia"	"1801"	"(DAUDIN, 1801)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Riolama"	"Riolama grandis"	"2020"	"RECODER, PRATES, MARQUES-SOUZA, CAMACHO, SALES-NUNES, VECHIO, GHELLERE, MCDIARMID & RODRIGUES, 2020"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Riolama"	"Riolama stellata"	"2020"	"RECODER, PRATES, MARQUES-SOUZA, CAMACHO, SALES-NUNES, VECHIO, GHELLERE, MCDIARMID & RODRIGUES, 2020"
"Squamata"	"Serpentes"	"Colubridae"	"Rodriguesophis"	"Rodriguesophis chui"	"1993"	"(RODRIGUES, 1993)"
"Squamata"	"Serpentes"	"Colubridae"	"Rodriguesophis"	"Rodriguesophis iglesiasi"	"1915"	"(GOMES, 1915)"
"Squamata"	"Serpentes"	"Colubridae"	"Rodriguesophis"	"Rodriguesophis scriptorcibatus"	"1993"	"(RODRIGUES, 1993)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Rondonops"	"Rondonops biscutatus"	"2015"	"COLLI, HOOGMOED, CANNATELLA, CASSIMIRO, GOMES, GHELLERE, SALES-NUNES, PELLEGRINO, SALERNO, MARQUES DE SOUZA & RODRIGUES, 2015"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Rondonops"	"Rondonops xanthomystax"	"2015"	"COLLI, HOOGMOED, CANNATELLA, CASSIMIRO, GOMES, GHELLERE, SALES-NUNES, PELLEGRINO, SALERNO, MARQUES DE SOUZA & RODRIGUES, 2015"
"Squamata"	"Sauria"	"Teiidae"	"Salvator"	"Salvator duseni"	"1910"	"(LÖNNBERG, 1910)"
"Squamata"	"Sauria"	"Teiidae"	"Salvator"	"Salvator merianae"	"1839"	"DUMÉRIL & BIBRON, 1839"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Scriptosaura"	"Scriptosaura catimbau"	"2008"	"RODRIGUES & MARANHÃO DOS SANTOS, 2008"
"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Siagonodon"	"Siagonodon cupinensis"	"1946"	"(BAILEY & CARVALHO, 1946)"
"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Siagonodon"	"Siagonodon exiguum"	"2023"	"MARTINS, FOLLY, NUNES FERREIRA, GARCIA DA SILVA, KOCH, FOUQUET, MACHADO, LOPES, PINTO, RODRIGUES & PASSOS, 2023"
"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Siagonodon"	"Siagonodon septemstriatus"	"1801"	"(SCHNEIDER, 1801)"
"Squamata"	"Serpentes"	"Colubridae"	"Sibon"	"Sibon nebulatus"	"1758"	"(LINNAEUS, 1758)"
"Squamata"	"Serpentes"	"Colubridae"	"Simophis"	"Simophis rhinostoma"	"1837"	"(SCHLEGEL, 1837)"
"Squamata"	"Serpentes"	"Colubridae"	"Siphlophis"	"Siphlophis cervinus"	"1768"	"(LAURENTI, 1768)"
"Squamata"	"Serpentes"	"Colubridae"	"Siphlophis"	"Siphlophis compressus"	"1803"	"(DAUDIN, 1803)"
"Squamata"	"Serpentes"	"Colubridae"	"Siphlophis"	"Siphlophis leucocephalus"	"1863"	"(GÜNTHER, 1863)"
"Squamata"	"Serpentes"	"Colubridae"	"Siphlophis"	"Siphlophis longicaudatus"	"1901"	"(ANDERSSON, 1901)"
"Squamata"	"Serpentes"	"Colubridae"	"Siphlophis"	"Siphlophis pulcher"	"1820"	"(RADDI, 1820)"
"Squamata"	"Serpentes"	"Colubridae"	"Siphlophis"	"Siphlophis worontzowi"	"1940"	"(PRADO, 1940)"
"Squamata"	"Serpentes"	"Colubridae"	"Sordellina"	"Sordellina punctata"	"1880"	"(PETERS, 1880)"
"Squamata"	"Serpentes"	"Colubridae"	"Spilotes"	"Spilotes pullatus"	"1758"	"(LINNAEUS, 1758)"
"Squamata"	"Serpentes"	"Colubridae"	"Spilotes"	"Spilotes sulphureus"	"1824"	"(WAGLER, 1824)"
"Squamata"	"Sauria"	"Tropiduridae"	"Stenocercus"	"Stenocercus albolineatus"	"2015"	"TEIXEIRA, PRATES, NISA, SILVA-MARTINS, STRÜSSMANN & RODRIGUES, 2015"
"Squamata"	"Sauria"	"Tropiduridae"	"Stenocercus"	"Stenocercus azureus"	"1880"	"(MÜLLER, 1880)"
"Squamata"	"Sauria"	"Tropiduridae"	"Stenocercus"	"Stenocercus caducus"	"1863"	"(COPE, 1863)"
"Squamata"	"Sauria"	"Tropiduridae"	"Stenocercus"	"Stenocercus canastra"	"2019"	"AVILA-PIRES, NOGUEIRA & MARTINS, 2019"
"Squamata"	"Sauria"	"Tropiduridae"	"Stenocercus"	"Stenocercus dumerilii"	"1867"	"(STEINDACHNER, 1867)"
"Squamata"	"Sauria"	"Tropiduridae"	"Stenocercus"	"Stenocercus fimbriatus"	"1995"	"AVILA-PIRES, 1995"
"Squamata"	"Sauria"	"Tropiduridae"	"Stenocercus"	"Stenocercus quinarius"	"2006"	"NOGUEIRA & RODRIGUES, 2006"
"Squamata"	"Sauria"	"Tropiduridae"	"Stenocercus"	"Stenocercus roseiventris"	"1837"	"D’ORBIGNY in DUMÉRIL & BIBRON, 1837"
"Squamata"	"Sauria"	"Tropiduridae"	"Stenocercus"	"Stenocercus sinesaccus"	"2005"	"TORRES-CARVAJAL, 2005"
"Squamata"	"Sauria"	"Tropiduridae"	"Stenocercus"	"Stenocercus squarrosus"	"2006"	"NOGUEIRA & RODRIGUES, 2006"
"Squamata"	"Sauria"	"Tropiduridae"	"Stenocercus"	"Stenocercus tricristatus"	"1851"	"(DUMÉRIL, 1851)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Stenolepis"	"Stenolepis ridleyi"	"1887"	"BOULENGER, 1887"
"Squamata"	"Sauria"	"Tropiduridae"	"Strobilurus"	"Strobilurus torquatus"	"1834"	"WIEGMANN, 1834"
"Squamata"	"Serpentes"	"Colubridae"	"Tachymenis"	"Tachymenis ocellata"	"1854"	"DUMÉRIL, BIBRON & DUMÉRIL, 1854"
"Squamata"	"Serpentes"	"Colubridae"	"Taeniophallus"	"Taeniophallus brevirostris"	"1863"	"(PETERS, 1863)"
"Squamata"	"Serpentes"	"Colubridae"	"Taeniophallus"	"Taeniophallus nicagus"	"1868"	"(COPE, 1868)"
