"species"	"order"	"family"	"biomes_salve"	"cerrado_sp"	"limbs"	"reproduction"	"biomes_gard"	"habitat"	"activity"	"cerrado_endemic"	"phylogeny"	"suborder"	"genus"	"year"
"Anolis brasiliensis"	"Squamata"	"Dactyloidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	"Diurnal"	"no"	"yes"	"Sauria"	"Anolis"	1970
"Anolis chrysolepis"	"Squamata"	"Dactyloidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Anolis"	1837
"Anolis dissimilis"	"Squamata"	"Dactyloidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Sauria"	"Anolis"	1965
"Anolis fuscoauratus"	"Squamata"	"Dactyloidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Anolis"	1837
"Anolis meridionalis"	"Squamata"	"Dactyloidae"	"Amazônia, Cerrado, Mata Atlântica, Pantanal"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	"Diurnal"	"yes"	"yes"	"Sauria"	"Anolis"	1885
"Anolis nasofrontalis"	"Squamata"	"Dactyloidae"	"Mata Atlântica"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Anolis"	1933
"Anolis neglectus"	"Squamata"	"Dactyloidae"	"Mata Atlântica"	"no"	"4 well developed limbs"	NA	NA	NA	NA	"no"	"no"	"Sauria"	"Anolis"	2019
"Anolis ortonii"	"Squamata"	"Dactyloidae"	"Amazônia, Cerrado, Mata Atlântica"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Anolis"	1868
"Anolis phyllorhinus"	"Squamata"	"Dactyloidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Anolis"	1945
"Anolis planiceps"	"Squamata"	"Dactyloidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Anolis"	1848
"Anolis pseudotigrinus"	"Squamata"	"Dactyloidae"	"Mata Atlântica"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Anolis"	1933
"Anolis punctatus"	"Squamata"	"Dactyloidae"	"Amazônia, Cerrado, Mata Atlântica"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Anolis"	1802
"Anolis scypheus"	"Squamata"	"Dactyloidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Anolis"	1864
"Anolis sericeus"	"Squamata"	"Dactyloidae"	""	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	"Diurnal"	"no"	"yes"	"Sauria"	"Anolis"	1856
"Anolis tandai"	"Squamata"	"Dactyloidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Anolis"	1995
"Anolis trachyderma"	"Squamata"	"Dactyloidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Anolis"	1875
"Anolis transversalis"	"Squamata"	"Dactyloidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Anolis"	1851
"Anotosaura collaris"	"Squamata"	"Gymnophthalmidae"	"Caatinga"	"no"	"4 well developed limbs"	"oviparous"	"Deserts & Xeric Shrublands"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Anotosaura"	1933
"Anotosaura vanzolinia"	"Squamata"	"Gymnophthalmidae"	"Caatinga, Mata Atlântica"	"no"	"4 well developed limbs"	"oviparous"	"Deserts & Xeric Shrublands"	"Savanna"	"Diurnal"	"no"	"yes"	"Sauria"	"Anotosaura"	1974
"Apostolepis adhara"	"Squamata"	"Dipsadidae"	"Cerrado"	"yes"	"limbless"	NA	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Grassland/Savanna/Shrubland"	"Diurnal"	"yes"	"no"	"Serpentes"	"Apostolepis"	2018
"Apostolepis albicollaris"	"Squamata"	"Dipsadidae"	"Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest"	NA	"yes"	"yes"	"Serpentes"	"Apostolepis"	2002
"Apostolepis arenaria"	"Squamata"	"Dipsadidae"	"Caatinga"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Shrubland"	NA	"no"	"no"	"Serpentes"	"Apostolepis"	1993
"Apostolepis assimilis"	"Squamata"	"Dipsadidae"	"Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	NA	"yes"	"yes"	"Serpentes"	"Apostolepis"	1861
"Apostolepis borellii"	"Squamata"	"Dipsadidae"	"Pantanal"	"no"	"limbless"	NA	"Flooded Grassleands & Savannas"	"Forest"	NA	"no"	"no"	"Serpentes"	"Apostolepis"	1904
"Apostolepis cearensis"	"Squamata"	"Dipsadidae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Deserts & Xeric Shrublands"	"Forest/Shrubland"	NA	"no"	"yes"	"Serpentes"	"Apostolepis"	1915
"Apostolepis christineae"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Dry Broadleaf Forests"	"Savanna"	NA	"yes"	"no"	"Serpentes"	"Apostolepis"	2002
"Apostolepis dimidiata"	"Squamata"	"Dipsadidae"	"Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Savanna"	"Diurnal"	"no"	"yes"	"Serpentes"	"Apostolepis"	1862
"Apostolepis flavotorquata"	"Squamata"	"Dipsadidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	"Nocturnal"	"yes"	"yes"	"Serpentes"	"Apostolepis"	1854
"Apostolepis gaboi"	"Squamata"	"Dipsadidae"	"Caatinga, Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Dry Broadleaf Forests"	"Shrubland"	NA	"no"	"no"	"Serpentes"	"Apostolepis"	1993
"Apostolepis goiasensis"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna/Shrubland"	"Nocturnal"	"yes"	"no"	"Serpentes"	"Apostolepis"	1942
"Apostolepis intermedia"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	"Nocturnal"	"yes"	"no"	"Serpentes"	"Apostolepis"	1898
"Apostolepis kikoi"	"Squamata"	"Dipsadidae"	"Cerrado"	"yes"	"limbless"	NA	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"no"	"Serpentes"	"Apostolepis"	2018
"Apostolepis lineata"	"Squamata"	"Dipsadidae"	"Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	"Diurnal"	"yes"	"no"	"Serpentes"	"Apostolepis"	1887
"Apostolepis longicaudata"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	"Diurnal"	"yes"	"no"	"Serpentes"	"Apostolepis"	1921
"Apostolepis nelsonjorgei"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	"Diurnal"	"yes"	"no"	"Serpentes"	"Apostolepis"	2004
"Apostolepis nigrolineata"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Grassland/Savanna"	"Diurnal"	"no"	"yes"	"Serpentes"	"Apostolepis"	1869
"Apostolepis nigroterminata"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"no"	"Serpentes"	"Apostolepis"	1896
"Apostolepis phillipsae"	"Squamata"	"Dipsadidae"	"Amazônia"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest"	"Diurnal"	"yes"	"yes"	"Serpentes"	"Apostolepis"	1999
"Apostolepis polylepis"	"Squamata"	"Dipsadidae"	"Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	"Diurnal"	"yes"	"yes"	"Serpentes"	"Apostolepis"	1922
"Apostolepis quinquelineata"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	NA	NA	NA	NA	NA	"no"	"no"	"Serpentes"	"Apostolepis"	1896
"Apostolepis quirogai"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	NA	"no"	"no"	"Serpentes"	"Apostolepis"	1998
"Apostolepis sanctaeritae"	"Squamata"	"Dipsadidae"	"Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Shrubland"	NA	"yes"	"yes"	"Serpentes"	"Apostolepis"	1924
"Apostolepis serrana"	"Squamata"	"Dipsadidae"	"Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"no"	"Serpentes"	"Apostolepis"	2006
"Apostolepis striata"	"Squamata"	"Dipsadidae"	"Amazônia"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	"Nocturnal"	"yes"	"no"	"Serpentes"	"Apostolepis"	2004
"Apostolepis thalesdelemai"	"Squamata"	"Dipsadidae"	"Caatinga"	"no"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Apostolepis"	2016
"Apostolepis vittata"	"Squamata"	"Dipsadidae"	"Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Dry Broadleaf Forests"	"Savanna"	"Nocturnal"	"yes"	"no"	"Serpentes"	"Apostolepis"	1887
"Arthrosaura kockii"	"Squamata"	"Gymnophthalmidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Arthrosaura"	1904
"Arthrosaura reticulata"	"Squamata"	"Gymnophthalmidae"	"Amazônia, Cerrado"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Arthrosaura"	1881
"Arthrosaura versteegii"	"Squamata"	"Gymnophthalmidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	"Diurnal"	"no"	"no"	"Sauria"	"Arthrosaura"	1904
"Aspronema dorsivittatum"	"Squamata"	"Mabuyidae"	"Cerrado, Mata Atlântica, Pampa"	"yes"	"4 well developed limbs"	"viviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Grassland/Savanna/Shrubland"	"Diurnal"	"no"	"yes"	"Sauria"	"Aspronema"	1862
"Atractus aboiporu"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Serpentes"	"Atractus"	2019
"Atractus akerios"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	NA	NA	NA	NA	"no"	"no"	"Serpentes"	"Atractus"	2021
"Atractus albuquerquei"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	NA	"yes"	"yes"	"Serpentes"	"Atractus"	1983
"Atractus alphonsehogei"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Atractus"	1983
"Atractus altagratiae"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Atractus"	2008
"Atractus badius"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Atractus"	1827
"Atractus boimirim"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Serpentes"	"Atractus"	2016
"Atractus caete"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Atractus"	2010
"Atractus caxiuana"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Atractus"	2006
"Atractus collaris"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Atractus"	1897
"Atractus dapsilis"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Serpentes"	"Atractus"	2019
"Atractus edioi"	"Squamata"	"Dipsadidae"	"Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"no"	"Serpentes"	"Atractus"	2005
"Atractus elaps"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Atractus"	1858
"Atractus emmeli"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Atractus"	1888
"Atractus flammigerus"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Atractus"	1827
"Atractus francoi"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Atractus"	2010
"Atractus guentheri"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Atractus"	1861
"Atractus hoogmoedi"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Atractus"	2010
"Atractus insipidus"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Atractus"	1961
"Atractus latifrons"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Atractus"	1868
"Atractus maculatus"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Deserts & Xeric Shrublands"	"Forest"	NA	"no"	"no"	"Serpentes"	"Atractus"	1858
"Atractus major"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Grassland/Shrubland"	NA	"no"	"yes"	"Serpentes"	"Atractus"	1894
"Atractus natans"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	NA	"no"	"no"	"Serpentes"	"Atractus"	2003
"Atractus nawa"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	NA	NA	NA	NA	"no"	"no"	"Serpentes"	"Atractus"	2021
"Atractus pantostictus"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	NA	"yes"	"yes"	"Serpentes"	"Atractus"	1993
"Atractus paraguayensis"	"Squamata"	"Dipsadidae"	"Mata Atlântica, Pampa"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	NA	"no"	"no"	"Serpentes"	"Atractus"	1924
"Atractus poeppigi"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Atractus"	1862
"Atractus potschi"	"Squamata"	"Dipsadidae"	"Caatinga, Mata Atlântica"	"no"	"limbless"	"oviparous"	"Deserts & Xeric Shrublands"	"Forest/Shrubland"	NA	"no"	"no"	"Serpentes"	"Atractus"	1995
"Atractus reticulatus"	"Squamata"	"Dipsadidae"	"Cerrado, Mata Atlântica, Pampa"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Grassland/Savanna"	NA	"no"	"yes"	"Serpentes"	"Atractus"	1885
"Atractus riveroi"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Atractus"	1961
"Atractus ronnie"	"Squamata"	"Dipsadidae"	"Caatinga"	"no"	"limbless"	"oviparous"	"Deserts & Xeric Shrublands"	"Forest"	NA	"no"	"no"	"Serpentes"	"Atractus"	2007
"Atractus serranus"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Atractus"	1930
"Atractus snethlageae"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Atractus"	1983
"Atractus spinalis"	"Squamata"	"Dipsadidae"	"Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Rocky/Savanna"	NA	"yes"	"no"	"Serpentes"	"Atractus"	2013
"Atractus stygius"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado"	"yes"	"limbless"	NA	NA	NA	NA	"yes"	"no"	"Serpentes"	"Atractus"	2019
"Atractus surucucu"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Savanna"	NA	"no"	"no"	"Serpentes"	"Atractus"	2008
"Atractus tartarus"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado"	"yes"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Atractus"	2016
"Atractus thalesdelemai"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Grassland"	NA	"no"	"no"	"Serpentes"	"Atractus"	2005
"Atractus torquatus"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	NA	"no"	"no"	"Serpentes"	"Atractus"	1854
"Atractus trefauti"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Serpentes"	"Atractus"	2019
"Atractus trihedrurus"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Atractus"	1926
"Atractus trilineatus"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	NA	"no"	"no"	"Serpentes"	"Atractus"	1828
"Atractus zebrinus"	"Squamata"	"Dipsadidae"	"Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Atractus"	1862
"Atractus zidoki"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Atractus"	1979
"Bachia bresslaui"	"Squamata"	"Gymnophthalmidae"	"Amazônia, Cerrado, Mata Atlântica, Pantanal"	"yes"	"reduced"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	"Diurnal"	"yes"	"yes"	"Sauria"	"Bachia"	1935
"Bachia cacerensis"	"Squamata"	"Gymnophthalmidae"	"Pantanal"	"yes"	"reduced"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"no"	"Sauria"	"Bachia"	1998
"Bachia didactyla"	"Squamata"	"Gymnophthalmidae"	"Amazônia, Cerrado"	"yes"	"reduced"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"no"	"Sauria"	"Bachia"	2011
"Bachia dorbignyi"	"Squamata"	"Gymnophthalmidae"	"Amazônia, Cerrado"	"yes"	"reduced"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	NA	"no"	"yes"	"Sauria"	"Bachia"	1839
"Bachia flavescens"	"Squamata"	"Gymnophthalmidae"	"Amazônia"	"no"	"reduced"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Bachia"	1789
"Bachia geralista"	"Squamata"	"Gymnophthalmidae"	"Cerrado"	"yes"	"reduced"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	"Cathemeral"	"yes"	"no"	"Sauria"	"Bachia"	2013
"Bachia micromela"	"Squamata"	"Gymnophthalmidae"	"Cerrado"	"yes"	"reduced"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	"Diurnal"	"yes"	"no"	"Sauria"	"Bachia"	2007
"Bachia oxyrhina"	"Squamata"	"Gymnophthalmidae"	"Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"no"	"Sauria"	"Bachia"	2008
"Bachia panoplia"	"Squamata"	"Gymnophthalmidae"	"Amazônia"	"no"	"reduced"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Bachia"	1965
"Bachia peruana"	"Squamata"	"Gymnophthalmidae"	"Amazônia"	"no"	"reduced"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Bachia"	1901
"Bachia psamophila"	"Squamata"	"Gymnophthalmidae"	"Cerrado"	"yes"	"reduced"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Shrubland"	"Diurnal"	"yes"	"no"	"Sauria"	"Bachia"	2007
"Bachia pyburni"	"Squamata"	"Gymnophthalmidae"	"Amazônia"	"no"	"reduced"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"no"	"Sauria"	"Bachia"	1998
"Bachia remota"	"Squamata"	"Gymnophthalmidae"	"Amazônia"	"no"	"reduced"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	NA	"Diurnal"	"no"	"no"	"Sauria"	"Bachia"	2016
"Bachia scaea"	"Squamata"	"Gymnophthalmidae"	"Amazônia"	"no"	"reduced"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Bachia"	2013
"Bachia scolecoides"	"Squamata"	"Gymnophthalmidae"	"Amazônia, Cerrado"	"yes"	"reduced"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Savanna"	NA	"no"	"yes"	"Sauria"	"Bachia"	1961
"Bachia trisanale"	"Squamata"	"Gymnophthalmidae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Bachia"	1868
"Boa constrictor"	"Squamata"	"Boidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Boa"	1758
