"family"	"genus"	"species"	"author"	"range"	"year"	"latitude"	"longitude"
"Gymnophthalmidae"	"Psilops"	"Psilops seductus"	"Rodrigues et al., 2017"	"Restricted"	2017	-13.8833	-45.7
"Dipsadidae"	"Rhachidelus"	"Rhachidelus brazili"	"Boulenger, 1908"	"Partial"	1908	NA	NA
"Gymnophthalmidae"	"Rhachisaurus"	"Rhachisaurus brachylepis"	"(Dixon, 1974)"	"Restricted"	1974	-19.2281	-43.5769
"Teiidae"	"Salvator"	"Salvator duseni"	"(Lönnberg, 1910)"	"Partial"	1910	NA	NA
"Leptotyphlopidae"	"Siagonodon"	"Trilepida acutirostris"	"Pinto & Curcio, 2011"	"Restricted"	2011	-11.5736	-47.1703
"Colubridae"	"Simophis"	"Simophis rhinostoma"	"(Schlegel, 1837)"	"Partial"	1837	NA	NA
"Tropiduridae"	"Stenocercus"	"Stenocercus albolineatus"	"Teixeira et al., 2016"	"Restricted"	2015	-15.1167	-58.95
"Tropiduridae"	"Stenocercus"	"Stenocercus canastra"	"Avila-Pires et al., 2019"	"Restricted"	2019	-20.2439	-46.5489
"Tropiduridae"	"Stenocercus"	"Stenocercus quinarius"	"Nogueira & Rodrigues, 2006"	"Restricted"	2006	-15.2536	-45.8889
"Tropiduridae"	"Stenocercus"	"Stenocercus sinesaccus"	"Torres-Carvajal, 2005"	"Partial"	2005	-15.4333	-55.75
"Dipsadidae"	"Thamnodynastes"	"Mesotes rutilus"	"(Prado, 1942)"	"Partial"	1942	-22.2914	-49.5528
"Leptotyphlopidae"	"Trilepida"	"Trilepida brasiliensis"	"(Laurent, 1949)"	"Wide"	1949	-12.1528	-44.99
"Leptotyphlopidae"	"Trilepida"	"Trilepida fuliginosa"	"(Passos et al., 2006)"	"Partial"	2006	-16.2013	-46.3211
"Leptotyphlopidae"	"Trilepida"	"Trilepida jani"	"(Pinto & Fernandes, 2012)"	"Restricted"	2012	-19.9208	-43.9378
"Leptotyphlopidae"	"Trilepida"	"Trilepida koppesi"	"(Amaral, 1955)"	"Partial"	1955	-20.4422	-54.8603
"Tropidophiidae"	"Tropidophis"	"Tropidophis preciosus"	"Curcio et al., 2012"	"Restricted"	2012	-18.2833	-43.9833
"Tropiduridae"	"Tropidurus"	"Tropidurus callathelys"	"Harvey & Gutberlet, 1998"	"Restricted"	1998	-13.6	-60.9
"Tropiduridae"	"Tropidurus"	"Tropidurus chromatops"	"Harvey & Gutberlet, 1998"	"Restricted"	1998	-13.6	-60.9
"Tropiduridae"	"Tropidurus"	"Tropidurus itambere"	"Rodrigues, 1987"	"Partial"	1987	-23.5017	-47.4581
"Tropiduridae"	"Tropidurus"	"Tropidurus montanus"	"Rodrigues, 1987"	"Partial"	1987	-19.2946	-43.5944
"Tropiduridae"	"Tropidurus"	"Tropidurus oreadicus"	"Rodrigues, 1987"	"Partial"	1987	-15.6178	-46.4233
"Teiidae"	"Tupinambis"	"Tupinambis matipu"	"Silva et al., 2018"	"Partial"	2018	-13.0596	-52.3813
"Teiidae"	"Tupinambis"	"Tupinambis quadrilineatus"	"Manzani & Abe, 1997"	"Partial"	1997	-16.2167	-51.4167
"Gymnophthalmidae"	"Vanzosaura"	"Vanzosaura savanicola"	"Recoder et al., 2014"	"Partial"	2014	-11.2333	-46.9167
"Dipsadidae"	"Xenodon"	"Xenodon matogrossensis"	"(Scrocchi & Cruz, 1993)"	"Partial"	1993	-20.2406	-56.3783
"Dipsadidae"	"Xenodon"	"Xenodon nattereri"	"(Steindachner, 1867)"	"Wide"	1867	NA	NA
