Species name (Binomial),GARD id,Valid (June 2026),Order,sub-order,Family,year described,Major Realm (Falaschi et al. 2023 designation),points 18June2026,only type2,Insularity,mappable (>0 points),have elevation data,max length (SVL or TL),female length  (SVL or TL),male length  (SVL or TL),"newborn size (SVL, Total length or mass)",Activity time data,substrate data,Mode of reproduction data,brood size data,Diet data,Foraging mode data,Length of Activity Season data,Population density data,Home range size data,"Body temperature in activity, data",Preferred temperature metadata,CtMin data,CtMax data,Yearly broods data,breeding age (data),Longevity data,IUCN (April 2026; classifiable?),"trend (IUCN, Apr 2026)",genetic data,score
Callisaurus draconoides,R06605,yes,Squamata,Sauria,Phrynosomatidae,1835,Nearctic,228,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25
Callopistes flavipunctatus,R08893,yes,Squamata,Sauria,Teiidae,1839,Neotropic,22,no,mainland,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,14
Callopistes maculatus,R08894,yes,Squamata,Sauria,Teiidae,1838,Neotropic,37,no,mainland,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,17
Calloselasma rhodostoma,R09623,yes,Squamata,Serpentes,Viperidae,1824,Oriental,87,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,17
Calodactylodes aureus,R03822,yes,Squamata,Sauria,Gekkonidae,1870,Oriental,51,no,mainland,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,12
Calodactylodes illingworthorum,R03823,yes,Squamata,Sauria,Gekkonidae,1953,Oriental,7,no,insular endemic,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,14
Calorodius thorntonensis,R07147,yes,Squamata,Sauria,Scincidae,1983,Australo-Pacific,11,no,mainland,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10
Calotes bachae,R00117,yes,Squamata,Sauria,Agamidae,2013,Oriental,92,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,15
Calotes bhutanensis,R00118,yes,Squamata,Sauria,Agamidae,1975,Oriental,1,yes,mainland,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Calotes calotes,R00119,yes,Squamata,Sauria,Agamidae,1758,Oriental,21,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,17
