Species name (Binomial),GARD id,Valid (June 2026),Order,sub-order,Family,year described,Major Realm (Falaschi et al. 2023 designation),points 18June2026,only type2,Insularity,mappable (>0 points),have elevation data,max length (SVL or TL),female length  (SVL or TL),male length  (SVL or TL),"newborn size (SVL, Total length or mass)",Activity time data,substrate data,Mode of reproduction data,brood size data,Diet data,Foraging mode data,Length of Activity Season data,Population density data,Home range size data,"Body temperature in activity, data",Preferred temperature metadata,CtMin data,CtMax data,Yearly broods data,breeding age (data),Longevity data,IUCN (April 2026; classifiable?),"trend (IUCN, Apr 2026)",genetic data,score
Rhinophis karinthandani,R12223,yes,Squamata,Serpentes,Uropeltidae,2020,Oriental,14,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Rhinophis lineatus,R09401,yes,Squamata,Serpentes,Uropeltidae,2011,Oriental,1,yes,insular endemic,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7
Rhinophis martin,R13124,yes,Squamata,Serpentes,Uropeltidae,2024,Oriental,2,yes,insular endemic,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Rhinophis melanogaster,R10910,yes,Squamata,Serpentes,Uropeltidae,1858,Oriental,7,no,insular endemic,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8
Rhinophis melanoleucus,R12117,yes,Squamata,Serpentes,Uropeltidae,2020,Oriental,27,yes,mainland,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Rhinophis mendisi,R12101,yes,Squamata,Serpentes,Uropeltidae,2020,Oriental,4,no,insular endemic,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Rhinophis oxyrhynchus,R09402,yes,Squamata,Serpentes,Uropeltidae,1801,Oriental,12,no,mainland,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Rhinophis philippinus,R09403,yes,Squamata,Serpentes,Uropeltidae,1829,Oriental,8,no,insular endemic,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12
Rhinophis phillipsi,R10911,yes,Squamata,Serpentes,Uropeltidae,1929,Oriental,1,yes,insular endemic,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8
Rhinophis porrectus,R09404,yes,Squamata,Serpentes,Uropeltidae,1921,Oriental,1,no,insular endemic,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7
Rhinophis punctatus,R09405,yes,Squamata,Serpentes,Uropeltidae,1832,Oriental,7,no,insular endemic,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7
Rhinophis roshanpererai,R10912,yes,Squamata,Serpentes,Uropeltidae,2017,Oriental,3,no,insular endemic,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8
Rhinophis saffragamus,R10913,yes,Squamata,Serpentes,Uropeltidae,1853,Oriental,13,no,insular endemic,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8
Rhinophis sanguineus,R09406,yes,Squamata,Serpentes,Uropeltidae,1863,Oriental,14,no,mainland,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
Rhinophis siruvaniensis,R13500,yes,Squamata,Serpentes,Uropeltidae,2025,Oriental,2,yes,mainland,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Rhinophis travancoricus,R09407,yes,Squamata,Serpentes,Uropeltidae,1892,Oriental,7,no,mainland,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
Rhinophis tricoloratus,R09408,yes,Squamata,Serpentes,Uropeltidae,1975,Oriental,3,no,insular endemic,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8
Rhinophis zigzag,R09409,yes,Squamata,Serpentes,Uropeltidae,2011,Oriental,1,yes,insular endemic,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7
Rhinoplocephalus bicolor,R03695,yes,Squamata,Serpentes,Elapidae,1885,Australo-Pacific,15,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,13
Rhinotyphlops ataeniatus,R09324,yes,Squamata,Serpentes,Typhlopidae,1912,Afrotropic,22,no,mainland,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
Rhinotyphlops boylei,R09325,yes,Squamata,Serpentes,Typhlopidae,1932,Afrotropic,2,no,mainland,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Rhinotyphlops lalandei,R09326,yes,Squamata,Serpentes,Typhlopidae,1839,Afrotropic,348,no,mainland,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,14
Rhinotyphlops leucocephalus,R10914,yes,Squamata,Serpentes,Typhlopidae,1930,Afrotropic,2,yes,mainland,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Rhinotyphlops schinzi,R09327,yes,Squamata,Serpentes,Typhlopidae,1887,Afrotropic,57,no,mainland,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9
Rhinotyphlops scorteccii,R09328,yes,Squamata,Serpentes,Typhlopidae,1965,Afrotropic,5,no,mainland,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
Rhinotyphlops unitaeniatus,R09329,yes,Squamata,Serpentes,Typhlopidae,1878,Afrotropic,27,no,mainland,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9
Rhoptropella ocellata,R04766,yes,Squamata,Sauria,Gekkonidae,1885,Afrotropic,32,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,13
Rhoptropus afer,R04767,yes,Squamata,Sauria,Gekkonidae,1869,Afrotropic,274,no,mainland,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,14
Rhoptropus barnardi,R04768,yes,Squamata,Sauria,Gekkonidae,1926,Afrotropic,394,no,mainland,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,14
Rhoptropus benguellensis,R11240,yes,Squamata,Sauria,Gekkonidae,1938,Afrotropic,18,no,mainland,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8
Rhoptropus biporosus,R04770,yes,Squamata,Sauria,Gekkonidae,1957,Afrotropic,70,no,mainland,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9
Rhoptropus boultoni,R04771,yes,Squamata,Sauria,Gekkonidae,1933,Afrotropic,225,no,mainland,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,14
Rhoptropus bradfieldi,R04772,yes,Squamata,Sauria,Gekkonidae,1935,Afrotropic,141,no,mainland,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,15
Rhoptropus crypticus,R13419,yes,Squamata,Sauria,Gekkonidae,2025,Afrotropic,2,yes,mainland,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Rhoptropus diporus,R04773,yes,Squamata,Sauria,Gekkonidae,1965,Afrotropic,39,no,mainland,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11
Rhoptropus megocellus,R13418,yes,Squamata,Sauria,Gekkonidae,2025,Afrotropic,5,no,mainland,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Rhoptropus minimus,R13417,yes,Squamata,Sauria,Gekkonidae,2025,Afrotropic,8,no,mainland,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Rhoptropus montanus,R11222,yes,Squamata,Sauria,Gekkonidae,1964,Afrotropic,12,no,mainland,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8
Rhoptropus nivimontanus,R13334,yes,Squamata,Sauria,Gekkonidae,2025,Afrotropic,2,yes,mainland,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Rhoptropus taeniostictus,R04775,yes,Squamata,Sauria,Gekkonidae,1964,Afrotropic,20,no,mainland,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9
Rhynchocalamus arabicus,R01758,yes,Squamata,Serpentes,Colubridae,1933,Saharo-Sindian,4,no,mainland,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Rhynchocalamus dayanae,R10915,yes,Squamata,Serpentes,Colubridae,2016,Saharo-Sindian,15,no,mainland,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Rhynchocalamus hejazicus,R13121,yes,Squamata,Serpentes,Colubridae,2024,Saharo-Sindian,22,no,mainland,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Rhynchocalamus levitoni,R11508,yes,Squamata,Serpentes,Colubridae,2017,Saharo-Sindian,8,no,mainland,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Rhynchocalamus melanocephalus,R01760,yes,Squamata,Serpentes,Colubridae,1862,Saharo-Sindian,201,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,15
Rhynchocalamus satunini,R10917,yes,Squamata,Serpentes,Colubridae,1899,Saharo-Sindian,25,no,mainland,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Rhynchoedura angusta,R02544,yes,Squamata,Sauria,Diplodactylidae,2011,Australo-Pacific,19,no,mainland,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9
Rhynchoedura eyrensis,R02545,yes,Squamata,Sauria,Diplodactylidae,2011,Australo-Pacific,54,no,mainland,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7
Rhynchoedura mentalis,R02546,yes,Squamata,Sauria,Diplodactylidae,2011,Australo-Pacific,6,no,mainland,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
Rhynchoedura ormsbyi,R02547,yes,Squamata,Sauria,Diplodactylidae,1985,Australo-Pacific,160,no,mainland,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10
Rhynchoedura ornata,R02548,yes,Squamata,Sauria,Diplodactylidae,1867,Australo-Pacific,896,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,21
Rhynchoedura sexapora,R02549,yes,Squamata,Sauria,Diplodactylidae,2011,Australo-Pacific,11,no,mainland,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11
Riama anatoloros,R05089,yes,Squamata,Sauria,Gymnophthalmidae,1996,Neotropic,10,no,mainland,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Riama antioquensis,R04896,yes,Squamata,Sauria,Gymnophthalmidae,2013,Neotropic,8,no,mainland,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9
Riama balneator,R05091,yes,Squamata,Sauria,Gymnophthalmidae,1996,Neotropic,7,potentially,mainland,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
Riama cashcaensis,R05092,yes,Squamata,Sauria,Gymnophthalmidae,1991,Neotropic,6,no,mainland,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Riama colomaromani,R05093,yes,Squamata,Sauria,Gymnophthalmidae,1996,Neotropic,7,no,mainland,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
Riama columbiana,R05094,yes,Squamata,Sauria,Gymnophthalmidae,1914,Neotropic,24,no,mainland,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Riama labionis,R05099,yes,Squamata,Sauria,Gymnophthalmidae,1996,Neotropic,4,no,mainland,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12
Riama meleagris,R05103,yes,Squamata,Sauria,Gymnophthalmidae,1885,Neotropic,5,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9
Riama orcesi,R05105,yes,Squamata,Sauria,Gymnophthalmidae,1995,Neotropic,5,no,mainland,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
Riama raneyi,R05107,yes,Squamata,Sauria,Gymnophthalmidae,1996,Neotropic,21,no,mainland,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Riama simotera,R05110,yes,Squamata,Sauria,Gymnophthalmidae,1879,Neotropic,31,no,mainland,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
Riama stigmatoral,R05112,yes,Squamata,Sauria,Gymnophthalmidae,1996,Neotropic,16,no,mainland,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Riama striata,R05113,yes,Squamata,Sauria,Gymnophthalmidae,1863,Neotropic,88,no,mainland,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,14
Riama unicolor,R05114,yes,Squamata,Sauria,Gymnophthalmidae,1858,Neotropic,56,no,mainland,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11
Riama yumborum,R05117,yes,Squamata,Sauria,Gymnophthalmidae,2014,Neotropic,2,yes,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Rieppeleon brachyurus,R01028,yes,Squamata,Sauria,Chamaeleonidae,1893,Afrotropic,37,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
Rieppeleon brevicaudatus,R01029,yes,Squamata,Sauria,Chamaeleonidae,1892,Afrotropic,54,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,15
Rieppeleon kerstenii,R01030,yes,Squamata,Sauria,Chamaeleonidae,1868,Afrotropic,82,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,15
Riolama grandis,R11974,yes,Squamata,Sauria,Gymnophthalmidae,2020,Neotropic,4,potentially,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Riolama inopinata,R10918,yes,Squamata,Sauria,Gymnophthalmidae,2015,Neotropic,2,yes,mainland,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Riolama leucosticta,R05118,yes,Squamata,Sauria,Gymnophthalmidae,1900,Neotropic,9,no,mainland,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9
Riolama luridiventris,R05119,yes,Squamata,Sauria,Gymnophthalmidae,2004,Neotropic,1,yes,mainland,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7
Riolama stellata,R11975,yes,Squamata,Sauria,Gymnophthalmidae,2020,Neotropic,4,potentially,mainland,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
Riolama uzzelli,R05120,yes,Squamata,Sauria,Gymnophthalmidae,2003,Neotropic,2,yes,mainland,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6
Riopa albopunctata,R11389,yes,Squamata,Sauria,Scincidae,1846,Oriental,84,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,15
Riopa anguina,R07876,yes,Squamata,Sauria,Scincidae,1868,Oriental,42,no,mainland,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
Riopa deccanensis,R13414,yes,Squamata,Sauria,Scincidae,2025,Oriental,2,no,mainland,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
Riopa guentheri,R07886,yes,Squamata,Sauria,Scincidae,1879,Oriental,42,no,mainland,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Riopa lineata,R07893,yes,Squamata,Sauria,Scincidae,1839,Oriental,44,no,mainland,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,10
Riopa lineolata,R07894,yes,Squamata,Sauria,Scincidae,1870,Oriental,35,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,13
Riopa popae,R07898,yes,Squamata,Sauria,Scincidae,1940,Oriental,11,no,mainland,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
Riopa punctata,R07900,yes,Squamata,Sauria,Scincidae,1799,Oriental,214,no,mainland,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
Riopa vosmaerii,R07904,yes,Squamata,Sauria,Scincidae,1839,Oriental,4,no,mainland,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Ristella beddomii,R08197,yes,Squamata,Sauria,Scincidae,1887,Oriental,20,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
Ristella guentheri,R08198,yes,Squamata,Sauria,Scincidae,1887,Oriental,9,no,mainland,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Ristella rurkii,R08199,yes,Squamata,Sauria,Scincidae,1839,Oriental,13,no,mainland,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
Ristella travancorica,R08200,yes,Squamata,Sauria,Scincidae,1870,Oriental,12,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Rodriguesophis chui,R03244,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1993,Neotropic,5,potentially,mainland,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,9
Rodriguesophis iglesiasi,R03245,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1915,Neotropic,38,no,mainland,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,12
Rodriguesophis scriptorcibatus,R03246,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1993,Neotropic,10,no,mainland,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,10
Rondonops biscutatus,R10919,yes,Squamata,Sauria,Gymnophthalmidae,2015,Neotropic,26,no,mainland,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
Rondonops xanthomystax,R10920,yes,Squamata,Sauria,Gymnophthalmidae,2015,Neotropic,8,no,mainland,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
Saara asmussi,R00434,yes,Squamata,Sauria,Agamidae,1863,Saharo-Sindian,68,no,mainland,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,10
Saara hardwickii,R00435,yes,Squamata,Sauria,Agamidae,1827,Saharo-Sindian,79,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,16
Saara loricata,R00436,yes,Squamata,Sauria,Agamidae,1874,Saharo-Sindian,84,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,15
Sahyadriophis beddomei,R06374,yes,Squamata,Serpentes,Colubridae (Natricinae),1864,Oriental,39,no,mainland,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Sahyadriophis uttaraghati,R12958,yes,Squamata,Serpentes,Colubridae (Natricinae),2023,Oriental,18,no,mainland,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Saiphos equalis,R08201,yes,Squamata,Sauria,Scincidae,1825,Australo-Pacific,1458,no,mainland,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,14
Salea anamallayana,R00437,yes,Squamata,Sauria,Agamidae,1878,Oriental,17,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,15
Salea gularis,R11815,yes,Squamata,Sauria,Agamidae,1854,Oriental,cannot be mapped,yes,mainland,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Salea horsfieldii,R00439,yes,Squamata,Sauria,Agamidae,1845,Oriental,11,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,14
Salomonelaps par,R03696,yes,Squamata,Serpentes,Elapidae,1884,Australo-Pacific,47,no,insular endemic,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,13
Saltuarius cornutus,R00860,yes,Squamata,Sauria,Carphodactylidae,1892,Australo-Pacific,19,no,mainland,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,16
Saltuarius eximius,R00861,yes,Squamata,Sauria,Carphodactylidae,2013,Australo-Pacific,1,yes,mainland,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Saltuarius kateae,R00862,yes,Squamata,Sauria,Carphodactylidae,2008,Australo-Pacific,2,yes,mainland,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11
Saltuarius moritzi,R00863,yes,Squamata,Sauria,Carphodactylidae,2008,Australo-Pacific,30,no,mainland,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,13
Saltuarius salebrosus,R00864,yes,Squamata,Sauria,Carphodactylidae,1975,Australo-Pacific,15,no,mainland,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,13
Saltuarius swaini,R00865,yes,Squamata,Sauria,Carphodactylidae,1985,Australo-Pacific,74,no,mainland,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
Saltuarius wyberba,R00866,yes,Squamata,Sauria,Carphodactylidae,1997,Australo-Pacific,18,no,mainland,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12
Salvadora bairdi,R01761,yes,Squamata,Serpentes,Colubridae,1860,Neotropic,107,no,mainland,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,14
Salvadora deserticola,R10921,yes,Squamata,Serpentes,Colubridae,1940,Nearctic,120,no,mainland,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Salvadora grahamiae,R01762,yes,Squamata,Serpentes,Colubridae,1853,Nearctic,416,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,15
Salvadora gymnorhachis,R11496,yes,Squamata,Serpentes,Colubridae,2019,Neotropic,6,no,mainland,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Salvadora hexalepis,R01763,yes,Squamata,Serpentes,Colubridae,1867,Nearctic,322,no,mainland,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,16
Salvadora intermedia,R01764,yes,Squamata,Serpentes,Colubridae,1940,Neotropic,54,no,mainland,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8
Salvadora lemniscata,R01765,yes,Squamata,Serpentes,Colubridae,1895,Neotropic,60,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12
Salvadora lineata,R12525,yes,Squamata,Serpentes,Colubridae,1940,Nearctic,171,no,mainland,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
Salvadora mexicana,R01766,yes,Squamata,Serpentes,Colubridae,1854,Neotropic,155,no,mainland,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,13
Salvator duseni,R08945,yes,Squamata,Sauria,Teiidae,1910,Neotropic,18,no,mainland,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,8
Salvator merianae,R08946,yes,Squamata,Sauria,Teiidae,1839,Neotropic,899,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,23
Salvator rufescens,R08947,yes,Squamata,Sauria,Teiidae,1871,Neotropic,235,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,19
Sanzinia madagascariensis,R00832,yes,Squamata,Serpentes,Boidae,1844,Madagascan,47,no,insular endemic,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,14
Sanzinia volontany,R00833,yes,Squamata,Serpentes,Boidae,2004,Madagascan,40,no,insular endemic,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
Saphenophis antioquiensis,R03247,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1943,Neotropic,1,yes,mainland,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Saphenophis atahuallpae,R03248,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1901,Neotropic,5,no,mainland,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Saphenophis boursieri,R03249,yes,Squamata,Serpentes,Colubridae (Dipsadinae),1867,Neotropic,14,no,mainland,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12
